Time_min,mRNA_blue
0,2.173913043
4.772727273,4.347826087
6.931818182,19.56521739
8.863636364,45.65217391
10,76.08695652
11.93181818,169.5652174
13.86363636,284.7826087
14.77272727,345.6521739
16.81818182,576.0869565
19.88636364,767.3913043
30,684.7826087
40.22727273,352.173913
60,56.52173913
