Time_min,premRNA_red
0,0.263157895
4.943820225,1.052631579
6.966292135,12.63157895
8.08988764,26.57894737
9.101123596,36.57894737
10.33707865,34.47368421
11.91011236,94.73684211
13.93258427,80
14.83146067,77.10526316
16.96629213,104.4736842
20,112.8947368
30,67.63157895
40,26.05263158
60,5.526315789
