Time_hrs,mRNA_blue
0,0.00E+00
0.175675676,0.00E+00
0.337837838,0.00E+00
0.391891892,2.168674699
0.5,6.144578313
0.662162162,22.40963855
0.837837838,41.20481928
1,49.51807229
1.256756757,54.93975904
1.513513514,71.92771084
2.013513514,82.40963855
6.067567568,122.8915663
