0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
8,0,2,0,1,0,0,64,38,8,1,13,3,3,5,35,NaN
1,0,1,0,21,0,16,1,2,29,0,3,8,8,11,7,NaN
1,1,0,2,0,1,21,76,21,4,31,1,0,3,36,11,NaN
3,0,0,0,0,31,38,58,6,20,64,3,4,15,1,8,NaN
1,0,1,1,0,8,37,69,56,27,6,19,1,2,0,0,NaN
0,0,0,0,1,11,26,14,61,1,13,0,5,0,0,5,NaN
0,1,0,0,1,15,19,50,25,3,22,31,23,0,2,0,NaN
3,0,4,0,1,31,33,19,11,0,0,2,0,1,0,5,NaN
0,0,0,0,5,33,7,46,25,29,1,0,7,13,1,46,NaN
3,0,0,8,0,42,11,42,53,64,17,0,5,2,2,4,NaN
0,0,1,0,0,27,38,4,22,32,1,9,20,0,2,3,NaN
0,1,0,0,1,32,3,0,16,15,2,5,3,10,18,16,NaN
0,1,0,0,11,22,0,0,14,21,20,6,0,1,1,5,NaN
0,1,0,2,2,11,11,0,14,0,8,0,0,2,0,15,NaN
0,1,0,0,0,62,7,55,39,2,6,2,6,0,0,0,NaN
0,0,0,0,1,14,40,42,58,8,20,9,3,11,6,1,NaN
0,0,1,0,1,18,58,36,0,1,8,1,2,3,0,0,NaN
0,1,0,0,2,28,32,42,63,16,0,0,0,3,1,0,NaN
0,0,0,0,15,33,31,19,6,19,18,1,0,0,2,0,NaN
0,1,2,4,1,1,38,61,1,35,0,4,3,2,4,20,NaN
1,0,3,0,9,1,12,20,0,43,3,59,2,0,2,10,NaN
0,0,1,1,2,0,11,81,42,31,13,4,0,27,2,0,NaN
0,0,0,0,27,25,0,4,14,1,7,0,1,0,0,3,NaN
0,0,0,0,0,12,29,1,66,3,2,7,1,0,9,1,NaN
0,0,0,0,1,43,31,34,7,0,2,4,3,0,0,0,NaN
0,2,0,0,0,9,17,73,4,10,0,15,8,0,1,2,NaN
0,1,0,0,0,27,7,5,4,12,3,18,1,1,0,0,NaN
1,0,0,0,0,13,0,51,3,1,10,0,4,28,0,1,NaN
1,0,0,1,0,36,0,13,3,19,0,7,10,1,2,11,NaN
0,0,0,0,0,0,20,37,18,2,5,9,3,1,2,3,NaN
0,0,0,0,4,13,0,9,59,4,14,28,2,1,0,6,NaN
