0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,3,22,1,0,0,0,0,0,0,0,0,0,NaN
0,0,0,1,32,17,34,0,9,7,0,0,0,0,0,0,NaN
0,0,0,0,0,34,0,97,4,0,0,0,0,0,0,0,NaN
0,0,0,1,0,0,91,0,5,3,0,0,0,0,0,0,NaN
0,0,0,1,0,14,22,64,2,7,0,0,0,0,0,0,NaN
0,0,0,0,1,0,37,7,0,0,0,0,0,0,0,0,NaN
0,0,0,2,0,16,0,69,3,11,0,2,0,0,0,1,NaN
0,0,0,0,0,1,88,8,6,24,0,0,0,0,0,0,NaN
0,0,0,1,0,1,0,10,6,3,0,0,0,0,0,0,NaN
0,0,0,0,0,32,0,24,6,6,0,0,0,0,0,0,NaN
0,0,0,0,0,0,53,5,3,0,0,0,0,0,0,0,NaN
0,0,0,0,0,11,47,0,0,22,0,0,0,0,0,0,NaN
0,0,0,0,0,1,71,0,3,10,0,0,0,0,0,0,NaN
0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,90,10,6,8,0,0,0,0,0,0,NaN
0,0,0,0,0,0,11,19,1,1,0,0,0,0,0,0,NaN
1,0,0,0,0,0,83,17,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,21,11,17,16,0,0,0,0,0,0,0,NaN
0,0,0,1,0,8,3,21,1,0,0,0,0,0,0,0,NaN
0,0,0,0,1,0,31,26,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,61,16,1,1,2,0,0,0,0,0,NaN
0,0,0,0,2,0,2,82,11,1,0,0,0,0,0,0,NaN
0,0,0,0,0,30,21,34,2,0,0,0,0,0,0,0,NaN
0,0,0,0,0,42,0,0,19,0,1,0,0,0,0,0,NaN
0,0,0,0,4,1,0,0,7,0,0,0,1,0,0,0,NaN
0,0,0,0,0,1,1,43,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,NaN
0,0,0,0,0,11,0,14,41,0,1,0,0,0,0,0,NaN
0,0,0,0,0,18,5,10,2,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,NaN
0,0,0,0,2,2,39,10,33,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,6,10,2,2,0,0,0,0,0,0,NaN
0,0,0,0,1,39,76,35,4,0,0,0,0,0,0,0,NaN
