0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,2,1,42,1,1,9,2,25,36,0,35,13,16,NaN
0,0,0,1,2,35,119,24,3,7,31,7,0,1,5,0,NaN
1,1,1,0,0,7,7,23,1,4,35,2,24,23,23,6,NaN
0,0,0,1,0,28,29,7,18,10,5,2,11,39,1,16,NaN
0,0,1,1,0,10,21,6,2,6,5,0,23,11,4,19,NaN
1,1,2,0,4,3,0,42,10,11,17,2,0,35,4,3,NaN
1,0,0,0,0,0,19,3,8,2,0,1,8,1,1,0,NaN
0,0,8,0,0,20,70,55,26,26,0,25,1,15,0,23,NaN
0,0,0,0,0,5,57,3,13,24,44,0,1,6,5,6,NaN
0,0,0,0,0,6,0,23,9,23,18,12,10,2,19,5,NaN
0,0,0,0,2,4,4,8,8,30,43,26,1,1,16,3,NaN
0,1,0,1,1,39,0,0,70,0,29,0,0,4,24,1,NaN
0,0,0,0,0,13,0,1,1,1,51,7,2,1,0,3,NaN
1,1,2,1,0,30,39,4,1,7,8,0,31,0,0,12,NaN
0,0,0,5,0,5,26,0,14,7,1,0,15,1,7,0,NaN
1,0,0,0,0,44,15,5,5,3,23,14,2,3,2,10,NaN
0,0,0,0,0,4,97,15,0,4,0,11,0,25,9,5,NaN
0,0,0,4,0,1,53,0,27,2,1,0,12,8,43,1,NaN
20,0,0,7,3,35,49,0,0,56,23,6,1,18,3,0,NaN
0,1,0,0,0,0,5,0,0,5,48,5,4,1,0,9,NaN
1,0,0,0,6,30,0,0,4,8,5,9,3,7,0,8,NaN
0,4,0,0,0,35,87,8,3,1,17,4,9,17,20,12,NaN
0,0,0,2,0,28,0,1,23,12,10,27,0,1,10,2,NaN
0,0,0,0,0,11,48,41,0,0,6,1,0,0,0,2,NaN
0,0,1,0,0,18,88,0,24,36,18,2,11,0,0,36,NaN
0,1,0,0,0,0,19,0,16,3,29,6,1,0,1,19,NaN
0,0,1,4,0,6,35,37,24,1,3,6,23,7,3,3,NaN
1,3,0,0,0,4,0,0,52,9,21,12,6,30,1,0,NaN
0,0,1,1,0,25,25,5,25,0,15,6,14,15,0,19,NaN
1,0,1,0,0,4,67,3,15,0,2,5,10,3,3,1,NaN
0,1,0,0,0,27,6,3,0,8,5,1,15,2,1,17,NaN
0,0,0,0,0,8,28,5,9,1,5,1,3,12,26,2,NaN
0,2,0,0,0,33,35,1,9,1,4,3,1,2,24,21,NaN
0,0,0,0,0,3,24,10,75,0,13,30,2,12,3,0,NaN
0,0,0,4,0,24,28,0,9,9,20,2,1,0,4,19,NaN
0,1,0,2,0,49,27,4,91,8,33,1,1,0,50,11,NaN
0,1,0,1,0,0,5,24,20,0,13,7,24,0,19,10,NaN
1,0,0,0,0,0,44,22,0,0,6,8,4,6,0,0,NaN
0,0,0,1,0,34,0,13,51,0,2,1,10,5,23,14,NaN
4,1,0,1,0,2,37,1,0,1,17,4,23,0,11,2,NaN
0,0,0,2,0,14,37,3,45,1,10,17,0,0,1,0,NaN
0,0,0,0,0,2,58,22,21,47,4,2,0,3,55,11,NaN
0,0,0,0,1,1,7,0,22,49,13,1,0,4,3,1,NaN
0,1,1,1,0,0,36,85,17,22,25,5,12,8,1,10,NaN
0,2,1,1,0,0,11,5,62,3,8,1,0,4,0,9,NaN
0,1,0,2,0,15,49,26,7,12,33,8,0,0,15,20,NaN
1,0,7,1,0,10,14,0,45,5,1,53,0,7,18,6,NaN
0,0,0,0,0,2,0,0,1,1,2,6,5,10,16,49,NaN
0,0,0,0,0,13,0,0,15,19,35,0,0,0,0,3,NaN
0,0,0,0,1,31,1,29,5,53,8,1,5,19,1,10,NaN
1,0,0,1,0,0,0,22,19,64,8,2,0,19,1,0,NaN
0,1,0,0,0,47,0,8,40,10,2,4,4,7,0,2,NaN
0,1,0,0,3,0,0,34,0,10,20,2,1,6,0,0,NaN
0,2,1,0,0,15,2,53,23,8,3,4,2,12,0,0,NaN
0,3,0,1,0,29,17,15,28,11,13,3,2,4,4,1,NaN
0,0,0,0,1,63,2,0,20,17,27,7,5,5,0,0,NaN
0,0,0,0,0,0,11,1,30,19,1,18,1,0,1,37,NaN
0,0,1,0,1,12,10,1,5,0,0,11,15,2,0,2,NaN
0,0,0,0,0,18,1,4,44,29,9,18,0,5,13,11,NaN
0,0,0,0,0,5,0,16,10,8,31,17,3,3,25,0,NaN
1,0,2,0,0,54,0,0,0,3,39,17,10,2,3,0,NaN
0,0,0,0,0,35,16,18,19,14,7,1,9,0,8,20,NaN
4,0,0,0,0,92,26,21,73,13,5,50,3,1,0,0,NaN
1,0,1,0,0,27,23,17,32,15,0,16,9,11,40,0,NaN
0,1,0,0,1,13,1,42,45,23,5,7,12,1,24,1,NaN
