0min,NaNmin,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,NaN,0,0,0,4,0,43,34,117,17,20,0,0,0,0,NaN
0,NaN,0,0,0,1,85,27,69,18,1,18,4,0,0,0,NaN
0,NaN,0,0,1,0,38,0,23,21,9,7,0,0,0,0,NaN
0,NaN,0,0,0,0,41,31,0,33,0,0,0,0,0,0,NaN
0,NaN,0,0,0,22,43,32,39,0,12,6,1,0,0,0,NaN
0,NaN,0,0,0,1,26,35,47,37,56,0,0,0,0,0,NaN
0,NaN,0,0,3,0,19,38,28,42,9,3,0,0,0,0,NaN
0,NaN,0,0,0,5,23,78,84,17,6,0,1,0,0,0,NaN
0,NaN,0,0,0,6,9,0,38,16,7,23,0,0,0,0,NaN
0,NaN,0,0,0,0,4,19,0,0,0,3,7,1,0,1,NaN
0,NaN,0,0,0,0,36,48,64,51,0,6,0,0,0,1,NaN
0,NaN,0,5,0,0,0,3,123,43,7,6,0,1,0,0,NaN
0,NaN,0,0,0,0,27,1,103,73,1,1,2,1,0,0,NaN
0,NaN,0,0,0,6,0,17,18,0,30,2,1,1,0,0,NaN
0,NaN,0,0,3,2,0,39,42,57,4,2,1,0,0,0,NaN
0,NaN,0,1,0,0,4,43,81,10,0,2,0,0,0,0,NaN
0,NaN,0,0,0,6,77,1,55,2,15,1,5,0,0,0,NaN
0,NaN,0,0,0,1,36,32,66,37,36,11,0,0,0,3,NaN
0,NaN,0,0,0,0,1,48,81,79,12,0,1,0,0,0,NaN
0,NaN,0,0,0,0,29,3,105,43,27,9,10,0,0,0,NaN
0,NaN,0,0,0,1,52,57,35,115,14,1,1,0,0,0,NaN
0,NaN,0,0,1,7,15,49,106,87,6,6,9,0,0,0,NaN
0,NaN,0,0,0,24,10,51,69,10,37,6,1,0,0,0,NaN
0,NaN,0,0,0,2,0,64,47,24,9,5,5,0,0,0,NaN
0,NaN,0,0,0,4,0,12,60,72,0,2,2,0,0,0,NaN
0,NaN,0,0,0,14,4,65,62,5,13,4,0,0,0,0,NaN
0,NaN,0,0,16,0,9,0,83,17,4,3,0,3,0,0,NaN
0,NaN,0,0,7,2,123,58,57,82,13,8,0,0,0,0,NaN
0,NaN,0,0,0,3,74,9,53,21,9,20,4,0,1,0,NaN
0,NaN,0,0,12,1,34,28,10,37,35,2,2,0,0,0,NaN
0,NaN,0,0,1,19,0,32,1,21,20,0,0,0,0,2,NaN
0,NaN,0,0,1,1,17,3,97,0,4,0,1,1,0,0,NaN
0,NaN,0,0,0,7,46,1,29,56,23,5,10,0,0,0,NaN
0,NaN,0,0,6,15,0,34,0,42,1,2,2,0,1,0,NaN
0,NaN,0,0,0,3,59,0,32,23,6,2,35,0,2,0,NaN
0,NaN,0,2,9,9,13,52,61,17,1,9,0,0,0,0,NaN
0,NaN,0,0,0,0,47,51,50,94,30,2,0,0,0,2,NaN
0,NaN,0,0,0,0,0,0,29,32,38,17,0,28,0,0,NaN
0,NaN,0,0,0,1,33,0,83,30,19,1,25,0,0,0,NaN
0,NaN,0,0,1,0,20,63,15,39,17,10,0,0,0,0,NaN
0,NaN,0,0,0,3,0,49,19,10,18,0,0,0,0,0,NaN
0,NaN,0,0,1,11,0,33,43,48,5,0,11,1,0,0,NaN
0,NaN,0,0,0,30,0,56,6,17,51,0,0,1,1,0,NaN
0,NaN,0,0,0,27,3,28,0,32,7,1,0,0,0,0,NaN
0,NaN,0,0,1,31,3,26,33,37,6,0,3,3,0,0,NaN
0,NaN,0,0,0,5,39,9,80,4,0,0,0,0,0,0,NaN
0,NaN,0,0,0,0,113,71,32,66,2,0,4,1,0,0,NaN
0,NaN,0,0,0,3,0,0,68,24,58,3,0,0,0,0,NaN
0,NaN,0,0,1,0,0,91,0,46,2,31,0,1,0,0,NaN
0,NaN,0,0,0,24,0,0,74,38,40,1,1,1,0,0,NaN
0,NaN,0,0,0,18,100,1,34,83,1,0,8,0,2,0,NaN
0,NaN,0,0,0,1,49,8,44,49,0,3,0,1,0,0,NaN
0,NaN,0,0,0,1,0,19,94,8,8,10,2,0,0,0,NaN
0,NaN,0,0,4,0,50,0,35,55,29,1,0,0,0,0,NaN
0,NaN,0,0,1,1,41,4,29,54,36,0,1,1,0,0,NaN
0,NaN,0,0,0,6,69,0,80,16,6,0,1,0,0,0,NaN
0,NaN,0,0,0,0,0,8,9,45,12,4,1,0,0,0,NaN
0,NaN,0,0,0,0,65,37,20,62,16,12,0,0,0,0,NaN
0,NaN,0,0,0,4,76,17,51,44,1,1,0,0,0,0,NaN
0,NaN,0,0,0,16,0,27,47,47,0,1,1,1,0,0,NaN
0,NaN,0,0,1,0,0,68,63,5,21,6,0,0,0,0,NaN
0,NaN,0,0,10,0,0,75,56,82,6,0,3,0,0,0,NaN
0,NaN,0,0,0,13,66,1,54,122,0,0,1,0,0,0,NaN
0,NaN,0,0,0,1,10,0,85,16,11,0,1,0,0,2,NaN
0,NaN,0,0,1,0,47,39,3,44,0,3,2,1,0,0,NaN
0,NaN,0,0,1,7,59,104,1,32,52,0,1,0,4,0,NaN
0,NaN,0,0,0,18,7,48,50,43,5,0,0,0,0,0,NaN
0,NaN,0,0,0,2,14,0,50,15,8,1,0,0,0,1,NaN
0,NaN,0,0,14,0,71,47,33,6,9,0,2,0,0,0,NaN
0,NaN,0,0,0,0,0,24,1,44,0,21,0,1,0,0,NaN
0,NaN,0,0,0,11,0,0,52,22,23,5,5,0,0,0,NaN
0,NaN,0,0,3,0,0,0,47,23,11,5,7,0,0,0,NaN
0,NaN,0,0,2,0,55,29,50,53,0,8,0,0,3,0,NaN
0,NaN,0,0,0,0,55,24,65,5,0,2,1,0,1,0,NaN
0,NaN,0,0,0,10,4,0,0,7,2,24,0,1,0,0,NaN
0,NaN,0,0,12,18,17,21,30,65,8,11,0,0,0,0,NaN
0,NaN,0,0,0,0,0,39,62,29,9,1,0,0,0,0,NaN
0,NaN,0,0,4,0,0,60,27,19,11,13,1,1,0,0,NaN
0,NaN,0,0,1,1,0,0,118,52,0,0,3,0,0,0,NaN
0,NaN,0,0,0,6,0,0,64,1,6,0,8,3,0,0,NaN
0,NaN,0,0,0,13,0,17,64,55,15,1,2,20,0,0,NaN
0,NaN,0,0,0,16,72,0,64,79,1,2,22,0,0,0,NaN
0,NaN,0,0,5,20,2,6,15,0,0,29,7,0,0,0,NaN
0,NaN,0,0,0,0,6,6,28,0,3,0,1,0,0,0,NaN
0,NaN,0,0,2,1,0,37,0,111,24,3,2,1,0,0,NaN
0,NaN,0,0,0,0,34,77,37,3,4,0,8,0,0,0,NaN
0,NaN,0,0,0,2,27,28,25,50,57,15,1,0,0,0,NaN
0,NaN,0,0,18,8,9,50,54,52,4,1,0,22,0,0,NaN
0,NaN,0,0,0,0,0,49,91,41,0,24,3,0,0,0,NaN
0,NaN,0,0,1,1,34,10,90,78,49,9,0,0,0,0,NaN
0,NaN,0,0,0,1,0,35,57,41,21,10,0,6,0,0,NaN
0,NaN,0,0,0,11,0,0,10,52,2,0,0,3,0,0,NaN
0,NaN,0,0,1,0,33,0,20,31,9,18,1,0,0,0,NaN
0,NaN,0,0,0,0,40,66,10,35,2,5,2,0,0,0,NaN
0,NaN,0,0,0,35,8,3,11,83,36,0,0,0,0,0,NaN
0,NaN,0,0,0,0,39,2,8,24,22,4,0,0,0,1,NaN
0,NaN,0,0,0,9,16,17,35,89,9,24,2,0,0,1,NaN
0,NaN,0,0,0,0,43,35,54,9,10,0,0,0,0,0,NaN
0,NaN,0,0,0,43,0,34,14,38,17,3,1,0,0,0,NaN
