0min,NaNmin,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,NaN,1,2,2,26,26,39,21,110,83,48,22,15,5,8,NaN
0,NaN,0,0,2,2,69,0,140,92,35,6,57,64,30,15,NaN
2,NaN,2,0,0,4,26,23,8,149,176,40,23,3,46,2,NaN
1,NaN,3,0,4,0,3,0,14,74,56,23,33,34,11,20,NaN
0,NaN,0,0,0,1,15,0,44,49,70,51,52,0,9,25,NaN
0,NaN,0,1,1,4,74,28,85,23,118,124,41,28,16,13,NaN
0,NaN,0,0,0,0,46,47,37,158,87,34,3,23,34,32,NaN
0,NaN,0,2,0,4,34,1,98,101,104,58,23,143,6,29,NaN
0,NaN,0,0,0,14,18,54,75,198,11,74,82,74,17,5,NaN
0,NaN,0,0,0,7,17,71,22,51,90,29,3,6,16,3,NaN
0,NaN,0,1,1,1,20,9,66,27,30,0,3,59,4,10,NaN
0,NaN,0,0,3,0,20,59,81,172,72,13,45,29,18,31,NaN
0,NaN,0,1,0,7,81,20,13,25,117,21,42,22,28,3,NaN
0,NaN,0,0,0,34,36,21,19,114,47,31,1,20,11,17,NaN
0,NaN,1,0,31,0,0,38,90,112,28,9,37,46,8,2,NaN
0,NaN,0,0,0,20,46,36,74,43,0,30,2,53,1,3,NaN
0,NaN,0,0,1,0,104,107,65,29,41,4,97,69,27,54,NaN
0,NaN,0,1,1,0,0,33,66,58,220,14,49,43,1,4,NaN
0,NaN,0,0,1,0,21,106,68,84,58,87,2,92,14,6,NaN
0,NaN,0,0,1,18,0,44,172,77,36,5,38,19,0,0,NaN
1,NaN,1,1,0,21,43,3,86,141,11,58,24,11,72,6,NaN
1,NaN,0,1,7,29,26,1,47,65,36,39,2,39,30,1,NaN
0,NaN,0,1,0,8,93,27,37,15,36,147,12,30,4,133,NaN
0,NaN,0,0,0,21,104,55,73,174,69,24,72,23,16,10,NaN
0,NaN,0,0,26,9,52,17,45,30,99,32,71,62,21,85,NaN
0,NaN,1,0,0,11,22,42,117,63,53,0,73,3,4,16,NaN
0,NaN,1,0,0,10,34,3,84,117,83,27,2,8,25,18,NaN
0,NaN,0,0,0,16,73,39,90,127,66,75,6,0,89,4,NaN
1,NaN,0,0,0,18,2,57,42,119,51,1,26,30,23,5,NaN
5,NaN,1,0,0,5,45,46,33,80,3,38,40,17,1,20,NaN
0,NaN,0,3,0,29,0,60,64,28,41,3,64,21,13,22,NaN
1,NaN,0,0,0,8,53,55,94,74,71,35,46,80,21,23,NaN
1,NaN,0,0,0,14,51,31,43,122,75,20,105,46,55,0,NaN
0,NaN,0,1,0,10,27,9,160,27,46,2,43,9,47,79,NaN
