0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,49,0,2,8,79,111,60,0,168,93,28,48,NaN
0,0,6,0,0,3,4,98,59,170,86,2,49,53,6,1,NaN
1,1,1,0,0,6,40,102,78,92,32,31,13,4,66,1,NaN
0,0,0,0,10,0,7,66,76,15,92,71,1,68,77,37,NaN
0,1,0,0,19,12,102,70,55,122,71,24,2,10,49,25,NaN
1,2,0,0,1,3,7,36,118,178,37,102,4,3,1,2,NaN
0,0,1,0,1,26,78,75,119,68,107,87,66,45,23,6,NaN
0,0,0,2,0,4,16,78,77,104,93,34,66,3,27,1,NaN
3,0,0,0,3,1,109,8,38,70,83,22,25,2,89,0,NaN
0,0,0,0,0,34,51,68,117,117,67,41,6,1,26,0,NaN
0,0,0,0,1,21,0,86,124,81,101,71,69,48,1,4,NaN
1,1,0,0,0,28,12,61,13,171,82,62,62,3,9,0,NaN
0,0,0,0,0,13,24,129,34,100,50,2,72,30,7,0,NaN
1,1,0,0,28,0,22,137,67,83,2,63,0,31,33,1,NaN
0,1,0,0,4,0,9,55,90,48,33,63,0,2,38,56,NaN
1,0,1,2,17,1,0,57,49,80,25,99,8,10,39,1,NaN
0,0,0,0,0,0,1,78,34,94,25,168,18,52,15,27,NaN
0,0,1,1,0,32,47,102,42,154,96,228,15,16,0,0,NaN
1,0,0,0,0,14,1,26,56,166,79,16,1,11,16,5,NaN
1,0,0,0,5,8,12,109,76,30,79,151,22,33,34,9,NaN
0,0,0,1,0,3,48,21,22,1,55,17,0,1,19,15,NaN
1,1,0,0,0,2,55,117,26,41,12,9,16,54,63,16,NaN
0,1,1,0,4,1,37,9,42,17,29,82,66,14,15,34,NaN
1,0,0,0,22,0,26,15,24,115,80,44,40,23,1,1,NaN
0,1,0,0,1,1,32,72,76,74,65,18,43,0,22,31,NaN
1,0,1,0,0,29,52,40,40,157,62,36,43,14,2,1,NaN
0,0,0,0,9,5,37,60,115,31,89,43,1,67,0,0,NaN
0,0,1,0,0,11,35,77,98,146,10,41,69,58,32,45,NaN
0,0,0,1,0,12,117,127,41,145,72,6,107,23,2,12,NaN
0,0,1,1,1,6,77,14,24,53,67,169,12,0,22,61,NaN
2,0,1,2,0,0,103,143,45,80,17,67,70,54,63,1,NaN
1,0,0,0,0,15,35,134,8,110,55,82,23,59,40,1,NaN
0,0,0,0,2,11,37,19,24,64,38,56,63,47,2,20,NaN
4,0,0,0,15,25,32,73,93,0,83,4,75,4,55,2,NaN
5,1,0,0,1,23,61,55,41,69,65,10,18,54,3,69,NaN
0,1,0,0,0,11,29,23,5,170,23,35,1,47,12,0,NaN
0,0,0,1,1,31,64,133,27,108,141,72,41,52,1,25,NaN
0,2,1,7,17,2,23,42,110,118,16,79,76,16,0,8,NaN
0,1,0,0,5,2,8,0,84,22,26,75,22,13,6,9,NaN
0,2,0,0,0,15,37,81,55,41,69,21,1,1,3,0,NaN
0,0,1,0,7,31,22,41,122,171,40,42,34,9,7,4,NaN
1,0,0,0,0,16,31,89,59,2,14,60,12,0,2,7,NaN
0,1,0,0,0,41,54,55,33,83,58,36,2,111,3,5,NaN
0,2,0,0,4,20,63,44,36,71,45,35,62,3,0,1,NaN
0,0,0,0,1,0,77,26,37,57,44,148,41,8,1,6,NaN
1,1,0,0,0,2,33,182,62,194,36,45,83,17,1,0,NaN
0,0,0,0,11,39,109,65,102,154,36,72,0,1,21,12,NaN
0,0,0,3,0,3,13,29,41,29,82,88,72,1,4,1,NaN
0,0,0,0,1,1,29,228,38,0,11,31,16,22,0,9,NaN
0,0,1,1,11,0,81,17,38,92,23,1,22,4,70,16,NaN
0,1,2,5,18,12,35,8,29,89,17,90,65,94,48,11,NaN
2,0,0,1,0,1,9,102,57,99,58,5,50,43,3,16,NaN
0,0,0,0,0,15,0,33,132,63,3,83,51,0,11,52,NaN
1,1,1,1,5,0,42,54,47,133,133,18,24,92,0,5,NaN
0,1,2,0,1,41,0,52,12,213,80,27,71,28,0,0,NaN
2,0,0,1,1,1,5,86,22,52,50,39,39,11,7,5,NaN
0,1,1,1,0,32,62,76,28,41,21,40,97,0,32,2,NaN
0,0,0,1,2,6,13,33,126,165,50,19,27,9,52,6,NaN
0,0,0,0,12,14,58,41,119,80,15,24,16,15,14,13,NaN
0,0,0,0,11,28,0,78,31,54,32,32,1,12,3,4,NaN
0,0,2,0,0,0,68,86,30,125,72,76,79,1,0,1,NaN
0,0,0,0,0,6,16,63,49,25,19,12,44,1,1,37,NaN
0,0,0,1,1,17,2,108,67,127,79,72,63,102,4,8,NaN
0,0,1,0,2,10,46,35,78,79,77,152,27,10,75,44,NaN
2,0,1,0,0,25,20,69,172,52,42,21,96,3,16,6,NaN
2,2,0,1,1,13,15,0,16,55,68,33,4,42,13,1,NaN
0,0,0,0,0,0,7,11,23,64,19,59,21,2,54,12,NaN
1,1,0,0,2,1,89,38,67,48,102,61,37,3,5,2,NaN
0,0,0,0,2,13,2,130,97,1,78,13,4,27,2,4,NaN
1,0,0,0,2,24,1,160,53,35,30,113,18,4,18,9,NaN
0,0,0,0,7,25,23,68,46,61,84,105,51,4,6,0,NaN
0,0,2,1,15,0,4,51,38,152,55,69,82,48,29,12,NaN
1,0,0,0,1,0,0,125,54,143,98,56,1,75,1,3,NaN
2,0,1,0,4,5,9,60,69,141,120,47,17,77,30,1,NaN
0,0,0,0,9,20,31,132,106,57,17,45,112,33,53,33,NaN
0,0,1,0,8,26,93,161,28,120,66,42,60,56,2,0,NaN
0,0,0,0,0,19,33,92,33,82,108,7,8,68,5,7,NaN
0,0,14,0,2,15,0,83,141,37,75,36,7,16,1,0,NaN
0,0,0,0,0,2,49,33,61,121,62,179,5,25,0,4,NaN
1,0,0,0,2,18,6,42,59,118,51,56,2,26,6,0,NaN
1,0,0,0,1,0,48,12,48,94,31,0,10,20,0,7,NaN
0,0,0,0,6,9,37,94,104,66,50,46,63,6,6,44,NaN
0,0,0,0,0,31,24,34,87,86,4,101,14,17,3,19,NaN
1,0,0,0,0,7,1,27,104,61,102,90,47,10,61,46,NaN
1,0,1,1,1,10,1,94,44,28,9,84,83,23,0,0,NaN
0,1,0,0,1,4,0,90,26,0,76,60,67,18,52,0,NaN
0,4,2,0,5,13,57,100,20,77,65,55,51,8,0,8,NaN
0,2,0,1,1,34,24,64,57,141,58,36,139,48,83,2,NaN
0,0,0,0,8,9,2,57,17,186,75,124,3,95,60,0,NaN
1,0,0,0,28,26,21,39,13,136,25,132,0,67,41,6,NaN
0,1,0,5,0,0,35,38,55,56,21,28,128,0,0,2,NaN
0,0,2,0,0,0,6,87,116,25,61,0,39,60,13,0,NaN
0,0,1,6,1,1,8,69,39,51,32,19,71,62,0,5,NaN
2,0,1,0,9,4,19,0,58,22,3,5,38,97,0,3,NaN
0,0,1,0,0,9,61,80,4,67,99,44,50,15,3,16,NaN
0,0,1,0,0,25,4,61,43,40,35,95,68,15,14,56,NaN
0,0,1,0,3,1,18,41,74,141,16,137,89,121,24,5,NaN
1,0,0,0,0,8,17,74,67,129,43,0,12,10,6,17,NaN
0,2,1,0,10,35,46,24,87,0,54,72,12,33,0,3,NaN
2,0,1,1,6,24,41,119,57,67,37,47,16,25,30,5,NaN
1,0,0,0,10,22,32,0,84,89,107,34,32,3,3,33,NaN
0,0,0,0,9,1,52,138,6,53,101,96,0,54,5,0,NaN
0,0,0,0,12,0,39,64,64,74,23,22,82,27,14,4,NaN
0,0,0,0,4,44,12,65,54,53,45,124,24,4,79,1,NaN
0,0,0,0,11,20,36,100,35,177,70,62,116,0,120,0,NaN
0,0,1,0,1,20,55,58,88,15,21,75,63,23,19,1,NaN
1,1,1,0,11,49,28,15,81,91,12,53,109,58,0,6,NaN
0,0,1,0,0,2,32,82,48,104,105,60,59,0,1,15,NaN
1,0,0,0,5,19,13,69,25,33,78,57,143,69,42,4,NaN
0,1,1,0,1,24,29,104,41,81,95,5,28,46,36,25,NaN
0,0,0,0,3,8,90,16,47,36,105,107,126,39,43,0,NaN
0,0,1,0,0,38,20,28,54,83,89,79,0,10,4,5,NaN
3,0,0,0,2,33,117,136,134,102,24,83,76,10,5,0,NaN
0,0,0,0,4,0,86,39,43,64,30,69,1,56,12,5,NaN
