0min,NaNmin,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,NaN,0,0,0,6,9,0,34,16,7,23,0,0,0,0,NaN
0,NaN,0,0,0,0,0,16,0,0,0,3,7,1,0,1,NaN
0,NaN,0,0,0,0,35,47,63,50,0,6,0,0,0,1,NaN
0,NaN,0,2,0,0,0,3,121,41,6,5,0,1,0,0,NaN
0,NaN,0,0,0,0,27,1,100,71,1,1,2,1,0,0,NaN
0,NaN,0,0,0,6,0,16,18,0,30,2,1,1,0,0,NaN
0,NaN,0,0,3,2,0,38,42,54,4,2,1,0,0,0,NaN
0,NaN,0,0,0,0,2,42,78,10,0,2,0,0,0,0,NaN
0,NaN,0,0,0,5,77,1,52,2,15,1,5,0,0,0,NaN
0,NaN,0,0,0,0,36,31,65,37,35,11,0,0,0,3,NaN
0,NaN,0,0,0,0,1,46,80,76,11,0,1,0,0,0,NaN
0,NaN,0,0,0,0,27,3,103,41,26,9,10,0,0,0,NaN
0,NaN,0,0,0,1,49,55,35,113,14,1,1,0,0,0,NaN
0,NaN,0,0,1,6,15,49,105,86,6,6,9,0,0,0,NaN
0,NaN,0,0,0,24,9,51,68,9,37,5,1,0,0,0,NaN
0,NaN,0,0,0,2,0,61,43,22,9,5,5,0,0,0,NaN
0,NaN,0,0,0,4,0,11,59,71,0,2,2,0,0,0,NaN
0,NaN,0,0,0,12,4,65,60,5,12,4,0,0,0,0,NaN
0,NaN,0,0,16,0,9,0,80,17,4,3,0,3,0,0,NaN
0,NaN,0,0,7,2,119,58,56,81,13,8,0,0,0,0,NaN
0,NaN,0,0,0,3,71,9,52,21,9,20,4,0,1,0,NaN
0,NaN,0,0,12,1,30,28,10,36,35,2,2,0,0,0,NaN
0,NaN,0,0,1,18,0,32,1,21,20,0,0,0,0,2,NaN
0,NaN,0,0,1,1,17,3,95,0,4,0,1,1,0,0,NaN
0,NaN,0,0,0,7,41,1,28,54,22,5,10,0,0,0,NaN
0,NaN,0,0,5,14,0,34,0,42,1,2,2,0,1,0,NaN
0,NaN,0,0,0,3,50,0,29,23,6,2,34,0,2,0,NaN
0,NaN,0,0,9,9,13,51,58,16,1,9,0,0,0,0,NaN
0,NaN,0,0,0,0,47,51,49,93,29,2,0,0,0,2,NaN
