0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,0,0,15,8,28,65,93,79,26,38,32,20,140,22,1
0,0,1,0,2,32,0,5,29,53,6,65,57,28,15,11,1
0,0,0,1,2,0,43,89,32,106,129,76,55,69,25,9,1
6,1,1,0,0,0,29,53,142,0,115,118,136,38,23,14,6
0,0,2,0,0,8,16,107,82,NaN,109,171,46,42,116,7,38
0,2,0,0,0,1,9,26,76,NaN,43,10,155,65,0,29,0
1,0,7,0,0,23,32,25,42,NaN,29,25,2,6,22,1,1
0,0,0,0,0,18,25,57,67,NaN,36,60,30,7,89,0,8
0,0,0,0,0,19,5,36,56,NaN,123,102,25,10,110,31,24
0,1,0,0,14,0,37,33,168,NaN,100,47,51,25,35,0,4
0,0,0,0,0,11,0,35,116,NaN,52,50,20,54,69,8,0
0,0,2,0,0,0,3,92,31,NaN,139,112,37,18,60,2,31
0,0,2,0,1,5,65,77,31,NaN,90,70,26,32,22,0,1
0,1,0,0,0,1,0,36,36,NaN,90,17,59,31,40,51,56
1,0,1,1,0,6,22,29,33,NaN,85,42,13,42,41,6,0
0,0,0,0,6,0,7,49,76,NaN,158,60,41,27,13,2,2
0,2,0,1,0,0,21,79,73,NaN,66,54,44,40,10,9,22
0,0,0,0,0,12,19,32,35,NaN,86,22,15,37,9,2,54
0,0,0,0,18,6,4,88,45,NaN,96,74,48,15,3,35,2
0,0,1,0,13,4,17,92,186,NaN,155,74,53,56,7,4,41
0,0,0,0,2,0,29,32,212,NaN,89,15,26,3,44,1,0
0,0,0,0,1,1,14,47,87,NaN,49,112,18,4,78,34,0
0,1,0,1,0,36,0,65,37,NaN,99,130,86,25,12,11,0
0,1,0,1,0,0,22,61,50,NaN,79,46,71,36,4,5,3
0,0,0,1,0,3,20,41,35,NaN,29,152,56,43,56,7,2
1,0,0,0,7,41,42,50,49,NaN,65,23,81,17,12,77,3
0,0,0,0,0,9,45,48,51,NaN,37,38,0,14,37,15,5
0,0,0,0,0,18,5,21,100,NaN,85,26,18,60,70,36,10
0,1,0,0,1,19,2,60,110,NaN,28,151,28,54,18,17,29
0,2,0,0,0,0,23,41,26,NaN,31,98,27,5,2,1,15
0,0,0,1,1,32,73,69,145,NaN,77,159,1,1,106,5,16
0,0,0,0,3,8,20,0,46,NaN,24,145,28,8,44,0,23
2,0,0,0,1,2,20,64,37,NaN,128,36,90,47,1,0,5
0,0,0,0,0,3,20,68,38,NaN,131,42,41,6,41,15,12
1,1,1,0,0,12,16,112,34,NaN,91,157,17,13,12,0,67
0,0,0,0,0,0,5,54,114,NaN,84,5,11,24,4,47,0
0,0,0,0,1,35,23,9,34,NaN,86,54,98,48,4,19,43
2,0,0,0,0,19,19,32,79,NaN,72,63,49,5,42,60,7
1,5,0,0,1,5,44,86,92,NaN,61,64,11,69,16,103,6
0,0,0,0,9,52,11,22,65,NaN,20,9,40,16,78,5,52
1,0,0,0,0,13,11,83,46,NaN,85,80,28,13,0,74,0
0,0,1,0,3,8,22,6,46,NaN,100,33,106,12,3,41,5
0,0,1,0,21,4,13,37,131,NaN,54,127,56,12,2,12,0
0,0,0,0,0,5,41,50,110,NaN,50,85,96,8,16,4,15
1,0,0,0,1,0,8,60,14,NaN,162,140,95,25,1,3,8
0,0,1,0,1,0,29,5,24,NaN,41,83,7,67,2,18,2
1,0,0,0,0,17,17,55,10,NaN,91,12,53,46,15,6,22
0,0,0,0,10,2,3,49,124,NaN,72,93,34,24,51,56,8
1,0,0,0,0,20,28,7,21,NaN,121,26,29,39,48,17,3
0,0,2,1,0,17,31,2,63,NaN,0,81,26,32,65,12,2
0,1,0,0,0,1,0,54,41,NaN,123,38,73,26,64,14,1
1,0,0,0,1,2,39,41,54,NaN,123,32,24,2,63,61,4
3,0,1,0,14,5,31,62,59,NaN,21,95,0,12,36,1,1
0,0,0,0,4,10,37,38,78,NaN,34,81,72,35,3,50,4
8,1,0,0,0,0,9,20,132,NaN,93,152,8,15,91,0,2
0,3,0,0,1,0,6,54,127,NaN,86,47,0,42,79,2,25
0,1,14,0,3,0,26,20,72,NaN,101,29,49,50,100,41,4
0,0,0,2,0,0,31,28,39,NaN,57,19,17,36,81,0,23
0,0,0,0,11,18,7,69,139,NaN,19,80,37,19,67,6,22
0,0,0,0,0,7,17,109,68,NaN,90,74,17,49,53,0,23
2,0,0,0,21,0,26,2,90,NaN,0,36,90,52,77,6,17
1,1,0,0,12,1,16,46,56,NaN,99,99,4,7,59,17,0
0,0,0,0,0,0,0,2,72,NaN,127,81,118,7,7,19,11
1,0,0,0,0,8,0,61,30,NaN,89,112,28,7,3,8,36
1,0,0,0,0,1,0,61,93,NaN,37,58,143,7,42,23,62
0,0,0,0,0,0,0,10,62,NaN,68,101,18,18,11,4,7
7,2,1,0,22,11,2,45,44,NaN,87,70,19,17,6,50,3
1,6,0,0,0,6,6,23,43,NaN,54,108,16,65,19,20,13
0,0,0,0,2,0,0,0,14,NaN,16,27,86,20,16,1,3
0,1,0,1,0,3,25,40,77,NaN,85,106,43,18,88,73,19
0,0,2,0,5,0,25,25,50,NaN,6,72,0,23,1,59,36
3,0,1,0,6,10,16,41,46,NaN,20,11,18,13,44,0,7
1,0,0,1,6,17,20,72,82,NaN,94,109,2,6,91,42,2
0,0,1,0,1,21,6,10,207,NaN,39,25,81,16,29,1,5
1,3,0,1,7,2,21,31,54,NaN,104,35,45,4,18,55,10
2,0,0,0,0,0,23,24,65,NaN,117,121,68,9,88,3,3
0,0,0,0,2,13,0,6,167,NaN,54,41,44,18,4,2,74
0,0,0,0,4,0,16,55,72,NaN,132,25,11,28,24,1,18
0,1,0,0,0,7,44,28,69,NaN,199,40,13,15,18,14,28
1,0,0,0,4,2,1,21,71,NaN,91,36,27,36,51,4,3
0,0,1,0,1,0,20,24,140,NaN,36,86,92,10,41,0,1
0,6,0,0,1,6,0,49,45,NaN,64,37,72,NaN,7,21,53
0,0,0,4,2,0,1,17,103,NaN,71,34,21,NaN,20,1,20
0,0,0,0,0,1,35,61,44,NaN,32,67,7,NaN,77,0,4
0,0,0,0,0,1,18,33,29,NaN,58,85,88,NaN,1,27,64
1,0,0,0,0,2,32,39,95,NaN,94,53,35,NaN,36,1,5
1,2,1,NaN,0,25,0,0,0,NaN,106,79,71,NaN,1,0,3
0,3,0,NaN,0,12,7,21,56,NaN,137,18,100,NaN,115,1,19
0,0,0,NaN,3,0,31,36,40,NaN,75,133,66,NaN,72,14,17
0,2,0,NaN,0,4,5,42,34,NaN,53,70,66,NaN,10,4,5
1,0,0,NaN,0,26,0,32,21,NaN,40,41,11,NaN,3,0,4
0,0,0,NaN,0,8,0,34,63,NaN,25,45,34,NaN,8,31,23
0,1,0,NaN,0,0,63,83,92,NaN,7,48,56,NaN,82,54,25
0,0,0,NaN,0,14,21,56,105,NaN,82,19,128,NaN,63,0,0
1,0,0,NaN,7,3,17,41,58,NaN,54,113,43,NaN,6,3,28
1,0,0,NaN,0,18,19,35,48,NaN,76,7,35,NaN,12,33,3
0,0,0,NaN,2,8,19,74,132,NaN,6,23,41,NaN,59,16,63
0,0,0,NaN,0,1,1,11,69,NaN,131,97,28,NaN,0,5,1
0,0,0,NaN,0,6,6,55,33,NaN,116,112,47,NaN,16,13,61
3,2,0,NaN,4,1,8,38,62,NaN,113,73,59,NaN,20,29,3
0,2,0,NaN,18,18,18,31,82,NaN,29,76,91,NaN,1,3,21
0,0,0,NaN,6,2,12,93,89,NaN,124,90,32,NaN,4,26,9
1,0,1,NaN,0,10,20,65,88,NaN,73,86,24,NaN,127,5,4
0,0,0,NaN,0,8,12,29,66,NaN,91,103,90,NaN,1,36,25
0,1,0,NaN,17,17,19,68,71,NaN,33,79,67,NaN,45,26,15
1,0,0,NaN,2,11,28,74,99,NaN,106,38,105,NaN,16,30,7
0,0,0,NaN,0,18,35,28,85,NaN,153,84,22,NaN,59,2,37
8,2,0,NaN,1,14,0,79,130,NaN,42,43,87,NaN,54,1,6
0,0,0,NaN,1,10,33,7,23,NaN,85,81,1,NaN,28,6,75
1,2,0,NaN,4,2,54,48,38,NaN,33,101,47,NaN,0,21,8
0,0,18,NaN,4,24,4,29,52,NaN,82,27,1,NaN,55,24,1
0,0,0,NaN,1,11,36,7,122,NaN,103,15,127,NaN,69,7,6
3,0,1,NaN,4,2,2,0,37,NaN,31,92,0,NaN,4,1,4
0,0,0,NaN,1,1,44,34,33,NaN,2,32,0,NaN,38,35,86
0,0,1,NaN,0,0,46,41,34,NaN,88,64,58,NaN,12,55,29
1,2,0,NaN,3,0,1,40,24,NaN,125,86,81,NaN,57,64,4
3,0,0,NaN,2,22,36,36,60,NaN,112,57,84,NaN,51,0,1
0,2,0,NaN,1,13,0,22,146,NaN,0,79,42,NaN,34,33,10
0,0,0,NaN,1,27,0,15,172,NaN,13,108,85,NaN,1,4,1
0,0,0,NaN,17,0,0,55,38,NaN,47,80,71,NaN,30,65,2
0,0,0,NaN,0,1,19,26,23,NaN,82,64,17,NaN,0,5,8
1,0,0,NaN,0,7,21,36,16,NaN,47,56,157,NaN,67,50,27
0,2,0,NaN,0,0,10,25,61,NaN,108,23,134,NaN,13,7,2
0,0,0,NaN,0,0,1,16,46,NaN,28,34,43,NaN,15,0,1
0,0,0,NaN,1,20,30,22,140,NaN,90,69,48,NaN,1,1,1
0,0,0,NaN,0,4,11,13,79,NaN,69,36,197,NaN,0,0,0
0,0,0,NaN,0,6,28,38,112,NaN,47,151,18,NaN,16,82,4
0,1,0,NaN,17,0,43,41,9,NaN,24,97,0,NaN,13,9,27
0,2,0,NaN,2,9,20,22,21,NaN,68,10,51,NaN,3,0,34
0,0,0,NaN,0,0,20,71,86,NaN,68,102,35,NaN,23,47,10
0,2,0,NaN,0,1,33,19,130,NaN,76,98,36,NaN,2,14,0
0,0,0,NaN,1,2,16,22,65,NaN,38,23,40,NaN,72,17,13
0,0,2,NaN,0,7,1,18,22,NaN,137,76,151,NaN,66,14,1
1,0,0,NaN,0,8,14,23,28,NaN,124,19,43,NaN,94,51,14
2,0,0,NaN,0,1,15,15,71,NaN,66,37,67,NaN,3,5,66
0,0,1,NaN,0,6,24,80,91,NaN,102,86,85,NaN,25,13,3
1,0,0,NaN,0,20,4,36,31,NaN,148,60,155,NaN,11,1,15
1,0,0,NaN,0,1,13,8,43,NaN,77,18,142,NaN,27,12,18
0,0,0,NaN,2,5,9,77,53,NaN,178,109,32,NaN,2,18,6
1,0,0,NaN,0,25,34,29,104,NaN,46,44,28,NaN,36,15,9
0,0,0,NaN,0,0,65,30,49,NaN,29,112,35,NaN,23,22,4
1,0,0,NaN,11,14,40,58,42,NaN,112,65,9,NaN,97,67,60
1,0,3,NaN,0,19,2,47,27,NaN,19,110,113,NaN,59,70,3
0,3,1,NaN,1,1,29,7,61,NaN,100,112,137,NaN,3,7,4
0,0,0,NaN,0,2,11,34,1,NaN,51,100,33,NaN,24,24,56
0,1,0,NaN,0,22,27,71,86,NaN,114,136,46,NaN,121,14,31
0,1,0,NaN,1,1,25,93,112,NaN,82,4,23,NaN,5,44,4
0,1,0,NaN,15,15,9,18,67,NaN,89,66,103,NaN,11,17,0
0,0,0,NaN,0,38,12,46,118,NaN,138,51,52,NaN,113,0,3
0,0,0,NaN,0,1,23,12,67,NaN,72,81,101,NaN,93,20,1
0,3,0,NaN,0,7,47,5,15,NaN,31,94,56,NaN,100,23,0
1,0,0,NaN,1,0,17,44,70,NaN,112,14,29,NaN,9,3,22
0,0,0,NaN,1,18,3,32,79,NaN,34,9,27,NaN,5,68,2
0,0,0,NaN,0,11,29,16,134,NaN,148,96,19,NaN,84,0,1
1,0,0,NaN,0,8,26,45,33,NaN,160,18,8,NaN,1,2,1
0,4,0,NaN,4,31,1,49,48,NaN,103,185,85,NaN,29,0,2
1,0,0,NaN,0,19,41,76,59,NaN,57,87,2,NaN,0,58,6
0,0,0,NaN,12,5,19,58,98,NaN,59,31,28,NaN,0,8,14
0,1,0,NaN,0,0,38,42,199,NaN,74,123,44,NaN,16,5,2
0,1,0,NaN,8,29,1,34,102,NaN,102,20,95,NaN,111,35,5
0,0,0,NaN,0,18,18,40,109,NaN,71,122,42,NaN,8,66,0
0,3,0,NaN,0,1,20,36,12,NaN,112,60,132,NaN,39,13,29
0,0,0,NaN,0,1,26,54,33,NaN,114,24,16,NaN,15,36,10
1,3,1,NaN,0,1,14,46,12,NaN,12,120,176,NaN,38,42,17
1,1,0,NaN,19,12,23,47,60,NaN,58,129,72,NaN,59,16,21
0,1,0,NaN,0,15,0,90,150,NaN,112,62,105,NaN,51,91,2
0,0,0,NaN,2,9,0,12,89,NaN,77,19,101,NaN,13,0,26
0,0,2,NaN,0,3,23,52,11,NaN,121,65,122,NaN,86,11,6
0,0,0,NaN,1,2,0,74,20,NaN,84,98,114,NaN,0,0,29
0,1,0,NaN,16,11,0,12,167,NaN,98,91,0,NaN,13,1,12
0,0,22,NaN,0,21,20,42,71,NaN,119,96,156,NaN,2,19,0
0,0,31,NaN,0,0,24,33,60,NaN,68,20,25,NaN,51,4,10
0,0,0,NaN,0,11,19,28,23,NaN,55,18,43,NaN,13,35,61
1,0,0,NaN,0,2,1,54,105,NaN,13,61,104,NaN,14,0,0
0,0,0,NaN,0,12,1,43,22,NaN,61,53,71,NaN,73,15,0
0,2,0,NaN,1,2,4,8,171,NaN,88,24,19,NaN,19,13,6
0,1,0,NaN,0,15,23,37,25,NaN,0,45,35,NaN,91,0,9
0,0,0,NaN,1,18,0,26,53,NaN,7,43,137,NaN,52,15,62
0,0,0,NaN,1,0,52,40,26,NaN,54,39,48,NaN,1,0,1
0,0,8,NaN,0,14,0,49,101,NaN,14,58,37,NaN,40,20,18
1,0,1,NaN,0,3,0,26,13,NaN,73,33,57,NaN,74,16,0
0,0,0,NaN,10,1,31,33,51,NaN,74,95,55,NaN,65,91,30
0,0,0,NaN,12,0,22,50,82,NaN,82,97,75,NaN,0,30,0
0,0,0,NaN,0,0,7,20,143,NaN,113,100,23,NaN,6,7,48
0,1,0,NaN,0,1,17,38,180,NaN,97,38,23,NaN,21,0,12
2,2,0,NaN,6,NaN,30,43,28,NaN,95,69,44,NaN,102,0,5
