0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,0,12,67,27,10,0,0,1,0,0,0,0,NaN
0,0,0,0,1,7,49,59,17,0,0,0,0,0,0,0,NaN
0,0,0,0,0,18,0,8,0,3,0,1,0,0,0,0,NaN
0,0,0,0,0,7,18,2,0,2,0,0,0,0,0,0,NaN
0,0,0,0,0,13,48,5,3,0,0,0,0,0,0,0,NaN
0,0,0,0,1,26,41,0,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,0,12,0,0,1,0,0,0,0,0,NaN
0,0,0,0,0,18,36,3,17,5,0,0,0,0,0,0,NaN
0,0,0,0,1,10,50,41,6,3,0,0,0,0,0,0,NaN
0,0,0,0,0,6,21,9,17,1,0,0,0,0,0,0,NaN
0,0,0,0,12,17,70,2,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,NaN
0,0,0,0,2,30,5,2,2,3,1,0,0,0,0,0,NaN
0,0,0,0,0,4,0,18,11,0,0,0,0,0,0,0,NaN
0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,40,54,4,26,0,2,0,0,0,0,0,NaN
0,0,0,0,0,10,23,5,0,1,0,0,0,0,0,0,NaN
0,0,0,0,12,1,3,56,14,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,36,0,0,1,1,0,0,0,0,0,NaN
0,0,0,0,0,32,2,22,19,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,15,47,18,0,0,0,0,0,0,0,NaN
0,0,0,0,0,19,0,3,22,1,0,0,0,1,0,0,NaN
0,0,0,0,1,1,11,2,3,6,0,0,0,0,0,0,NaN
0,0,0,0,0,2,39,29,0,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,NaN
0,0,0,0,0,29,0,12,1,1,0,0,0,1,0,0,NaN
0,0,0,0,6,11,0,31,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,NaN
0,0,0,0,0,13,10,5,4,4,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,0,12,12,0,1,0,0,0,0,NaN
0,0,0,0,0,1,48,56,4,0,1,0,0,0,0,0,NaN
0,0,0,0,0,19,0,1,0,0,0,0,0,1,0,0,NaN
0,0,0,0,0,1,36,6,0,0,0,1,0,0,0,0,NaN
0,0,0,0,0,1,42,16,4,3,0,0,0,0,0,0,NaN
0,0,0,0,0,2,2,5,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,16,0,48,0,2,0,0,0,1,0,0,NaN
0,0,0,0,11,6,13,7,8,0,1,0,0,0,0,0,NaN
0,0,0,0,46,55,16,2,7,1,3,0,0,0,0,0,NaN
0,0,0,0,2,48,58,7,17,0,0,0,0,0,0,0,NaN
0,0,0,0,0,50,4,17,6,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,13,55,17,0,0,0,0,0,0,0,NaN
0,0,0,0,14,9,40,14,2,7,0,0,0,0,0,0,NaN
0,0,0,0,0,9,35,0,3,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,29,16,1,0,1,0,0,0,0,0,NaN
0,0,0,0,0,1,0,26,31,0,0,0,0,1,0,0,NaN
0,0,0,0,0,14,55,23,6,9,0,1,0,0,0,0,NaN
0,0,0,0,0,16,20,0,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,42,1,5,0,0,0,0,0,0,0,NaN
0,0,0,0,1,8,0,32,20,2,0,0,0,0,0,0,NaN
0,0,0,0,1,0,23,8,20,0,0,0,0,0,0,0,NaN
0,0,0,0,0,13,40,10,1,0,0,0,0,0,0,0,NaN
0,0,0,0,4,3,0,12,19,0,0,0,0,0,0,0,NaN
0,0,0,0,1,31,51,11,11,3,0,0,0,0,0,0,NaN
0,0,0,0,0,18,0,8,2,0,0,0,0,0,0,0,NaN
0,0,0,0,14,34,11,26,7,0,0,0,0,0,0,0,NaN
0,0,0,0,0,16,14,67,34,0,0,0,0,1,0,0,NaN
0,0,0,0,0,1,2,16,9,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,0,29,0,3,0,0,0,0,0,0,NaN
0,0,0,0,0,24,3,9,48,2,1,0,0,0,1,0,NaN
0,0,0,0,12,0,11,13,21,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,17,22,1,2,0,0,0,0,0,0,NaN
0,0,0,0,0,9,45,39,28,0,0,0,0,0,0,0,NaN
0,0,0,0,0,12,49,36,3,0,0,0,0,0,0,0,NaN
0,0,0,0,0,15,29,1,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,NaN
0,0,0,0,39,6,49,9,0,1,0,0,0,1,0,0,NaN
0,0,0,0,0,10,0,35,13,0,3,0,0,0,0,0,NaN
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,6,27,24,5,0,0,0,0,0,0,0,NaN
0,0,0,0,0,45,67,6,5,6,4,0,0,0,0,1,NaN
0,0,0,0,0,0,6,0,21,2,0,0,0,0,0,0,NaN
0,0,0,0,0,5,71,24,1,2,0,0,0,1,1,0,NaN
0,0,0,0,1,14,25,11,4,0,0,0,0,0,0,0,NaN
0,0,0,0,0,42,0,18,2,0,0,0,0,0,0,0,NaN
0,0,0,0,0,2,72,0,19,0,0,0,0,0,0,0,NaN
0,0,0,0,0,18,61,53,4,0,0,0,0,0,0,0,NaN
0,0,0,0,0,28,0,13,6,2,0,0,0,0,0,0,NaN
0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,NaN
0,0,0,0,1,0,117,0,4,3,0,0,0,0,0,0,NaN
0,0,0,0,0,0,43,5,12,3,1,0,0,0,0,0,NaN
0,0,0,0,0,2,5,33,0,0,0,0,0,0,0,0,NaN
0,0,0,0,4,1,19,30,2,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,46,19,0,0,5,1,0,1,0,0,NaN
0,0,0,0,0,18,0,28,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,26,2,18,5,6,0,0,0,0,0,NaN
0,0,0,0,0,1,91,32,9,0,0,0,0,0,0,0,NaN
0,0,0,0,10,13,4,7,43,10,0,0,0,0,0,0,NaN
0,0,0,0,0,41,33,13,13,0,0,0,0,0,0,0,NaN
0,0,0,0,0,27,35,3,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,18,29,31,6,9,1,0,0,0,0,0,NaN
0,0,0,0,0,17,5,27,6,0,1,0,0,0,0,0,NaN
0,0,0,0,1,37,27,5,0,0,0,0,0,0,0,0,NaN
